Name,VenueUrl,PricingUrl,CapacityUrl,Capacity,PriceRange,Address,Region,Type,DistanceMiles,PhotoUrls
The Overlook,https://www.theoverlookpw.com/,https://www.theoverlookpw.com/products,https://www.theoverlookpw.com/products,50-1150,All-inclusive packages (contact for pricing),"1 Kaiser Plaza, Oakland CA 94612",Oakland,Rooftop,,
Chabot Space & Science Center,https://chabotspace.org/visit/rent-chabot/weddings-private-events/,https://www.herecomestheguide.com/wedding-venues/northern-california/chabot-space-and-science-center,https://chabotspace.org/visit/rent-chabot/,varies,"$1,700-$12,900 rental","10000 Skyline Blvd, Oakland CA 94619",Oakland Hills,Museum/Unique,9.1,
Fairview Metropolitan,https://www.fairviewevents.com/metropolitan,https://www.herecomestheguide.com/wedding-venues/northern-california/fairview-metropolitan,https://www.fairviewevents.com/metropolitan,50-225,"$1,000-$4,000 rental; $87-$148/guest all-inclusive","12 Fountain Ct, Oakland CA 94601",Oakland,All-Inclusive,,https://www.fairviewevents.com/images/metropolitan.jpg
Fairview Crystal Springs,https://www.fairviewevents.com/crystal-springs,https://www.herecomestheguide.com/wedding-venues/northern-california/fairview-crystal-springs,https://www.fairviewevents.com/crystal-springs,50-250,"$1,500-$2,800 rental; $87-$175/guest all-inclusive","6 Crystal Springs Rd, Burlingame CA 94010",Peninsula,All-Inclusive,,https://www.fairviewevents.com/images/crystal-springs.jpg
Hacienda de las Flores,https://www.wedgewood-weddings.com/venues/northern-california/hacienda-de-las-flores,https://www.herecomestheguide.com/wedding-venues/northern-california/hacienda-de-las-flores,https://www.wedgewood-weddings.com/venues/northern-california/hacienda-de-las-flores,151-200,"$1,695-$9,995 packages; $86+/person","2100 Donald Dr, Moraga CA 94556",Contra Costa,Spanish Estate,11.9,
The Mountain Terrace,https://www.themountainterrace.com/weddings/,https://www.themountainterrace.com/weddings/,https://www.themountainterrace.com/weddings/,up to 150,"$2,500-$8,500 rental (weekday $2.5k-$3k; Sat $4.5k-$8.5k)","17285 Skyline Blvd, Woodside CA 94062",Peninsula,Mountain/Outdoor,47.4,https://www.themountainterrace.com/wp-content/uploads/2026/01/Bride-and-groom-during-an-outdoor-wedding-ceremony-1024x768.jpg|https://www.themountainterrace.com/wp-content/uploads/2026/01/Bride-and-groom-during-an-outdoor-wedding-ceremony.jpg|https://www.themountainterrace.com/wp-content/uploads/2026/01/Bride-and-bridal-party-arriving-at-a-wedding-venue-1024x768.jpg|https://www.themountainterrace.com/wp-content/uploads/2020/07/Wedding-South-Asian-groom-and-bride-in-tall-trees-fisheye-view-768x1152.jpg|https://www.themountainterrace.com/wp-content/uploads/2020/07/Wedding-Bride-Groom-Veil-Flowing-in-Wind-768x512.jpg
Harvest Inn,https://www.harvestinn.com/weddings/,https://www.herecomestheguide.com/wedding-venues/northern-california/harvest-inn,https://www.harvestinn.com/weddings/wedding-venues,120-200,"$6,000-$15,000 rental; $150+/person catering","1 Main St, St Helena CA 94574",Napa,Resort/Vineyard,55.6,
Lake Chalet,https://www.thelakechalet.com/private-dining-1,https://www.thelakechalet.com/private-dining-1,https://www.thelakechalet.com/private-dining-1,30-350,"$3,300-$4,000 site fee; receptions $10k-$17k avg","1520 Lakeside Dr, Oakland CA 94612",Oakland,Restaurant/Waterfront,5.3,
Gather Berkeley,https://gatherberkeley.com/events,https://gatherberkeley.com/events,https://gatherberkeley.com/events,20-125,Contact for pricing (farm-to-table restaurant),"2200 Oxford St, Berkeley CA 94704",Berkeley,Restaurant,0.2,
East Bay Parks (Brazilian Room),https://www.ebparks.org/reservations/event-venues,https://www.ebparks.org/reservations/event-venues,https://www.ebparks.org/reservations/event-venues,varies,Affordable park rates (call 510-544-3164),"Tilden Regional Park, Berkeley CA",Berkeley,Park/Outdoor,3.2,
Allied Arts Guild,https://www.alliedartsguild.org/weddings,https://www.herecomestheguide.com/wedding-venues/northern-california/allied-arts-guild,https://www.alliedartsguild.org/weddings,varies,"$3,000-$4,000+ rental; $120+/person","75 Arbor Rd, Menlo Park CA 94025",Peninsula,Historic Garden,39.4,
Bella Rosa at Garre Vineyard,https://www.garrevineyards.com/weddings,https://www.herecomestheguide.com/wedding-venues/northern-california/bella-rosa-at-garre-vineyard-and-winery,https://www.garrevineyards.com/weddings,varies,"$2,300-$5,000 rental; $7,500-$17,000 F&B min","7986 Tesla Rd, Livermore CA 94550",Livermore,Winery,,
B.R. Cohn Winery,https://www.brcohn.com/weddings/,https://www.brcohn.com/weddings/,https://www.brcohn.com/weddings/,varies,Contact for pricing (olive grove + vineyard),"15000 Sonoma Hwy, Glen Ellen CA 95442",Sonoma,Winery,49.8,https://www.brcohn.com/wp-content/uploads/2025/04/private-event-sign.jpg|https://www.brcohn.com/wp-content/uploads/2025/04/private-event-barn-dinner.jpg|https://www.brcohn.com/wp-content/uploads/2025/04/private-event-tables-couches.jpg|https://www.brcohn.com/wp-content/uploads/2025/04/private-event-barn-dinner-2.jpg|https://www.brcohn.com/wp-content/uploads/2025/04/private-event-barn-florals.jpg
Viansa Winery,https://www.viansa.com/events/weddings/,https://www.viansa.com/events/weddings/,https://www.viansa.com/events/weddings/,varies,Contact for pricing (Mediterranean style),"25200 Arnold Dr, Sonoma CA 95476",Sonoma,Winery,45.5,
Jacuzzi Family Vineyards,https://www.jacuzziwines.com/events/weddings,https://www.jacuzziwines.com/events/weddings,https://www.jacuzziwines.com/events/weddings,30-150,Contact for pricing (Italian-inspired),"24724 Arnold Dr, Sonoma CA 95476",Sonoma,Winery,38.7,
Oceano Hotel Half Moon Bay,https://oceanohalfmoonbay.com/weddings/,https://oceanohalfmoonbay.com/weddings/,https://oceanohalfmoonbay.com/weddings/,up to 300,Contact for pricing (oceanfront),"280 Capistrano Rd, Half Moon Bay CA 94019",Coast,Oceanfront Hotel,35.8,https://oceanohalfmoonbay.com/wp-content/uploads/2022/06/Wedding-Package-Photo-1024x682.webp|https://oceanohalfmoonbay.com/wp-content/uploads/2021/09/oceano-wedding-photo-36_hu5589725c9c946c94b18fab257f0cb128_170208_522x0_resize_q80_lanczos-1.jpg|https://oceanohalfmoonbay.com/wp-content/uploads/2021/01/oceano-wedding-photo-04_huc6262a47fcd44c5ec52047be2986e980_140644_522x0_resize_q80_lanczos.jpg|https://oceanohalfmoonbay.com/wp-content/uploads/2021/01/oceano-wedding-photo-05_hu6c8f1965ebb531ca4539f9de2f7e3c80_112472_522x0_resize_q80_lanczos.jpg|https://oceanohalfmoonbay.com/wp-content/uploads/2021/01/oceano-wedding-photo-q.jpg
Olema House,https://olemahouse.com/olema-house-weddings/,https://olemahouse.com/olema-house-weddings/,https://olemahouse.com/olema-house-weddings/,8-180,Contact for pricing (Point Reyes ranch),"10000 Sir Francis Drake Blvd, Olema CA 94950",Point Reyes,Ranch/Outdoor,36.7,
Sequoia Retreat Center,https://www.sequoiaretreatcenter.com/,https://www.sequoiaretreatcenter.com/,https://www.sequoiaretreatcenter.com/,varies,Contact for pricing (redwood forest),Santa Cruz Mountains CA,Santa Cruz,Redwood Forest,61.1,
Kohl Mansion,https://kohlmansion.com/,https://kohlmansion.com/,https://kohlmansion.com/,varies,Contact for pricing (historic mansion),"2750 Adeline Dr, Burlingame CA 94010",Peninsula,Historic Mansion,26.7,https://i0.wp.com/kohlmansion.com/wp-content/uploads/2019/11/Taste-Take-Event-2019-1080x1080-Final-with-white-line.jpg?resize=1080%2C1080&ssl=1|https://kohlmansion.com/wp-content/uploads/2018/05/Reception-Room.jpg|https://i0.wp.com/kohlmansion.com/wp-content/uploads/2018/05/Reception-Room.jpg?resize=320%2C202&ssl=1|https://i0.wp.com/kohlmansion.com/wp-content/uploads/2019/11/Nicole-and-Barry-Wedding-Sneak-Peek-04.jpg?resize=1170%2C1755&ssl=1|https://i0.wp.com/kohlmansion.com/wp-content/uploads/2019/11/Nicole-and-Barry-Wedding-Sneak-Peek-05.jpg?resize=1170%2C780&ssl=1
Gamble Garden,https://www.gamblegarden.org/weddings-rentals/overview/,https://www.gamblegarden.org/weddings-rentals/overview/,https://www.gamblegarden.org/weddings-rentals/overview/,up to 50,Contact for pricing (intimate garden),"1431 Waverley St, Palo Alto CA 94301",Peninsula,Historic Garden,39.1,
SF City Hall,https://sfgov.org/countyclerk/marriage,https://sfgov.org/countyclerk/marriage,https://sfgov.org/countyclerk/marriage,up to 100,"$83 ceremony reservation; $1,000 private rental","1 Dr Carlton B Goodlett Pl, SF CA 94102",San Francisco,Civic/Historic,12.6,
SFMOMA,https://www.sfmoma.org/rental-events/weddings-at-sfmoma/,https://www.sfmoma.org/rental-events/weddings-at-sfmoma/,https://www.sfmoma.org/rental-events/weddings-at-sfmoma/,100-600,Contact for pricing (museum galleries),"151 3rd St, San Francisco CA 94103",San Francisco,Museum,11.0,https://d1hhug17qm51in.cloudfront.net/www-media/2022/12/07161020/Rental_Events_Weddings_Rooftop_Terrace-1024x683.jpg|https://d1hhug17qm51in.cloudfront.net/www-media/2025/12/23163008/SFMOMA-Thursday-Night-Events-by-Barak-Shrama-243-1024x682.jpg|https://d1hhug17qm51in.cloudfront.net/www-media/2025/01/11144703/PE_event_Robin_Kelley_82.65.12_PS2-1024x759.jpg|https://d1hhug17qm51in.cloudfront.net/www-media/2019/12/17105329/lola-wedding-photography-preview-lilouette-48-1024x683.jpg|https://d1hhug17qm51in.cloudfront.net/www-media/2025/12/15135844/PE_event_Personal_Voices-1024x576.png
Exploratorium,https://www.exploratorium.edu/rentals/weddings,https://www.exploratorium.edu/rentals/weddings,https://www.exploratorium.edu/rentals/weddings,varies,Contact for pricing (Pier 15 bay views),"Pier 15, San Francisco CA 94111",San Francisco,Museum,11.7,https://c2.staticflickr.com/1/230/31509795681_bbe59d4789_c.jpg|https://c1.staticflickr.com/6/5612/31478913552_c0b2639de8_c.jpg|https://c5.staticflickr.com/1/469/31253274060_3c51315c28_c.jpg|https://c7.staticflickr.com/1/699/31478930102_dbf94e6b1e_c.jpg|https://c7.staticflickr.com/1/531/30783978454_675f382e8c_c.jpg
Walt Disney Family Museum,https://www.waltdisney.org/visit/events-venue-rentals/weddings,https://www.waltdisney.org/visit/events-venue-rentals/weddings,https://www.waltdisney.org/visit/events-venue-rentals/weddings,60-200,Contact for pricing (Presidio),"104 Montgomery St, San Francisco CA 94129",San Francisco,Museum,15.4,https://www.waltdisney.org/themes/custom/wdfm/images/share.svg
Fine Arts Museums (de Young/Legion of Honor),https://www.famsf.org/about/weddings-private-events,https://www.famsf.org/about/weddings-private-events,https://www.famsf.org/about/weddings-private-events,80-700,Contact for pricing (museum galleries),"Golden Gate Park, San Francisco CA",San Francisco,Museum,16.7,"https://www.famsf.org/storage/images/627ae6b9-ba2d-4310-a234-a6b84ffa9852/lawn-ceremony-grooms-michelle-walker-web.jpg?crop=1002,1333,x397,y0&format=jpg&quality=80&width=1000|https://www.famsf.org/storage/images/627ae6b9-ba2d-4310-a234-a6b84ffa9852/lawn-ceremony-grooms-michelle-walker-web.jpg?crop=2000,1125,x0,y87&format=jpg&quality=80&width=1000|https://www.famsf.org/storage/images/d633b513-b7b6-4f57-8c3e-d8d0461051b4/coh-tent-reception-michelle-walker-web.jpg?crop=2000,1333,x0,y0&format=jpg&quality=80&width=1000|https://www.famsf.org/storage/images/2d412eb3-24b4-4233-92f4-2f0a40e7dbc3/bz-san-francisco-legion-of-honor-wedding-highlights-rkp-5.jpg?crop=2000,1334,x0,y0&format=jpg&quality=80&width=1000|https://www.famsf.org/storage/images/f3194de5-07d6-4104-93eb-896686178476/lawn-ceremony-flower-girls-jake-and-necia-photography-web.jpg?crop=2000,1336,x0,y188&format=jpg&quality=80&width=1000"
San Francisco Zoo,https://www.sfzoo.org/events/weddings/,https://www.sfzoo.org/events/weddings/,https://www.sfzoo.org/events/weddings/,varies,Contact for pricing (unique zoo setting),"Sloat Blvd & Great Highway, SF CA 94132",San Francisco,Zoo/Unique,20.4,https://www.sfzoo.org/wp-content/uploads/2021/06/Celebrations.jpg|https://www.sfzoo.org/wp-content/uploads/2021/06/Celebrations-Page-Anniversaries-Graduations.jpg|https://www.sfzoo.org/wp-content/uploads/2021/06/venues-1.jpg|https://www.sfzoo.org/wp-content/uploads/2021/06/Venue.jpg|https://www.sfzoo.org/wp-content/uploads/2021/06/Wedding.jpg
Palace Hotel Grand Ballroom,https://www.sfpalace.com/rooms/grand-ballroom-weddings/,https://www.sfpalace.com/rooms/grand-ballroom-weddings/,https://www.sfpalace.com/rooms/grand-ballroom-weddings/,up to 1000,Contact for pricing (historic hotel),"2 New Montgomery St, SF CA 94105",San Francisco,Hotel Ballroom,11.1,https://www.sfpalace.com/wp-content/uploads/2024/09/JadeNick_PalaceHotel_San_Francisco-Wedding-2021-MASHAIDA-3317.jpg|https://www.sfpalace.com/wp-content/uploads/2024/10/img-privateevent-hero-1.jpg|https://www.sfpalace.com/wp-content/uploads/2024/06/img-weddings-texture.jpg|https://www.sfpalace.com/wp-content/uploads/2024/10/img-events-intro-hero.jpg|https://www.sfpalace.com/wp-content/uploads/2024/10/img-events-intro-secondary.jpg
Belle Vie Vineyard,https://bellevievineyard.com/venue/,https://bellevievineyard.com/venue/,https://bellevievineyard.com/venue/,50-300,Contact for pricing (multiple venues),"5995 Tesla Rd, Livermore CA 94550",Livermore,Winery,,https://bellevievineyard.com/wp-content/uploads/elementor/thumbs/event-img4-onqb6he2fpi5jvyw9p70gqm7j8f8lgvvndvwbm5pxm.jpg|https://bellevievineyard.com/wp-content/uploads/elementor/thumbs/event-img1-onqb6he2etxfq9cpgucmzrcubkb38y9dzf3r1g2vj2.jpg|https://bellevievineyard.com/wp-content/uploads/elementor/thumbs/event-img3-onqb6he2fpi5jvyw9p70gqm7j8f8lgvvndvwbm5pxc.jpg|https://bellevievineyard.com/wp-content/uploads/elementor/thumbs/StefanandChrystalWedding1391-scaled-pix72vzya0u796o5royvksfshin0x2ana95xqoyc76.jpg|https://bellevievineyard.com/wp-content/uploads/2020/03/BelleVieVineyards_StyledWeddingShoot-1324.jpeg-slide-optimized.jpg
Palm Event Center,https://palmeventcenter.com/,https://palmeventcenter.com/,https://palmeventcenter.com/,varies,Contact for pricing (vineyard estate),"1184 Vineyard Ave, Pleasanton CA 94566",Pleasanton,Winery,34.9,https://palmeventcenter.com/blog/wp-content/uploads/2024/01/Nicola-Leigh-Photography-02.10.23.102-copy-900x600.jpg|https://palmeventcenter.com/blog/wp-content/uploads/2023/12/Usman-B-Photography-11.22.21.25-578x868.jpg|https://palmeventcenter.com/blog/wp-content/uploads/2023/12/Usman-B-Photography-11.22.21.45-578x868.jpg|https://palmeventcenter.com/blog/wp-content/uploads/2023/12/Nicola-Leigh-Photography-02.10.23.57-578x868.jpg|https://palmeventcenter.com/blog/wp-content/uploads/2023/12/06Portraits_AsVi_090-1024x683.jpg
Casa Real at Ruby Hill Winery,https://www.casareal.com/,https://www.casareal.com/,https://www.casareal.com/,up to 450,"Starting at $18,850 (Mediterranean villa)","410 Vineyard Ave, Pleasanton CA 94566",Pleasanton,Winery,37.7,
Retzlaff Vineyards,https://retzlaffvineyards.com/weddings/,https://retzlaffvineyards.com/weddings/,https://retzlaffvineyards.com/weddings/,varies,Contact for pricing (Victorian estate),"1356 S Livermore Ave, Livermore CA 94550",Livermore,Winery,37.6,
St. Francis Winery,https://weddingsatstfrancis.com/,https://weddingsatstfrancis.com/,https://weddingsatstfrancis.com/,up to 200,"$5,500-$10,500 (vineyard views)","100 Pythian Rd, Santa Rosa CA 95409",Sonoma,Winery,57.4,
Beringer Vineyards,https://www.beringer.com/en/wine-country-weddings.html,https://www.beringer.com/en/wine-country-weddings.html,https://www.beringer.com/en/wine-country-weddings.html,90-200,Contact for pricing (19th century estate),"2000 Main St, St Helena CA 94574",Napa,Winery,57.3,https://cdn.shopify.com/s/files/1/0680/7266/9353/files/BER_Lifestyle_TastingRoom_Nov2015.jpg?v=1755212554|https://photos.smugmug.com/TWE-Events/n-xkTxcc/Beringer-PR-Cab-Release-Party/i-6TvQw5X/0/NR5GD7RqKFsTq4rn4LL92kSjJmVN3SJ4zCTsRL8mn/X3/_MG_2048-X3.jpg|https://cdn.shopify.com/s/files/1/0680/7266/9353/files/PR_23_ReleaseEvent.jpg?v=1765842461|https://cdn.shopify.com/s/files/1/0680/7266/9353/files/PR_Chard840x840.jpg?v=1749056972|https://photos.smugmug.com/TWE/Beringer-Bottles/i-ZNW9LcX/0/KdH5cVJHXcXNSsvwPMx2xDhHLpkFZrpNsTc9b6pbn/X2/_DSF6064%20copy-X2.jpg
Golden Gate Yacht Club,https://ggyc.org/wp/facilities/,https://ggyc.org/wp/facilities/,https://ggyc.org/wp/facilities/,100-125,Contact for pricing (bay views),"1 Yacht Road, San Francisco CA 94123",San Francisco,Yacht Club,15.2,https://ggyc.org/wp/wp-content/uploads/2023/07/Ceremony-Set-Up-scaled.jpg|https://ggyc.org/wp/wp-content/uploads/2023/10/GGYC-Room-for-Bus-2-1500x430.jpg|https://ggyc.org/wp/wp-content/uploads/2023/07/AC-Room-Bar-Deck-1299x430.jpg|https://ggyc.org/wp/wp-content/uploads/2023/07/AC-Room-Bar-1299x430.jpg|https://ggyc.org/wp/wp-content/uploads/2023/07/20fe792d-a1c5-4004-9f6c-0bb12149fee4-868x430.jpg
San Francisco Yacht Club,https://www.sfyc.org/private-parties,https://www.sfyc.org/private-parties,https://www.sfyc.org/private-parties,32-200,Contact for pricing (multiple rooms),"98 Beach Rd, Belvedere CA 94920",Marin,Yacht Club,24.5,https://sfyc.org/documents/10184/41759/The+Club_Cove+House_virtual+tour+header.png/
Sausalito Woman's Club,https://sausalitowomansclub.org/club-rentals/,https://sausalitowomansclub.org/club-rentals/,https://sausalitowomansclub.org/club-rentals/,varies,Contact for pricing (historic club),"120 Central Ave, Sausalito CA 94965",Marin,Historic Club,25.1,https://sausalitowomansclub.org/wp-content/uploads/2022/10/Sausalito-Wedding-Venue-Outside-Ceremony-Sausalito-Womans-Club-scaled.jpg|https://sausalitowomansclub.org/wp-content/uploads/2022/12/Sausalito-Corporate-Events-Venue-Sausalito-Womans-Club-22-1-400x284.jpg|https://sausalitowomansclub.org/wp-content/uploads/2022/12/Sausalito-Corporate-Events-Venue-Sausalito-Womans-Club-12-400x284.jpg|https://sausalitowomansclub.org/wp-content/uploads/2022/12/Sausalito-Corporate-Events-Venue-Sausalito-Womans-Club-14-400x284.jpg|https://sausalitowomansclub.org/wp-content/uploads/2022/12/Sausalito-Corporate-Events-Venue-Sausalito-Womans-Club-19-400x284.jpg
Oceano Hotel Half Moon Bay,https://oceanohalfmoonbay.com/weddings/,https://oceanohalfmoonbay.com/weddings/,https://oceanohalfmoonbay.com/weddings/,up to 250,Contact for pricing (coastal barn),"280 Capistrano Rd, Half Moon Bay CA 94019",Coast,Hotel/Coastal,35.8,https://oceanohalfmoonbay.com/wp-content/uploads/2022/06/Wedding-Package-Photo-1024x682.webp|https://oceanohalfmoonbay.com/wp-content/uploads/2021/09/oceano-wedding-photo-36_hu5589725c9c946c94b18fab257f0cb128_170208_522x0_resize_q80_lanczos-1.jpg|https://oceanohalfmoonbay.com/wp-content/uploads/2021/01/oceano-wedding-photo-04_huc6262a47fcd44c5ec52047be2986e980_140644_522x0_resize_q80_lanczos.jpg|https://oceanohalfmoonbay.com/wp-content/uploads/2021/01/oceano-wedding-photo-05_hu6c8f1965ebb531ca4539f9de2f7e3c80_112472_522x0_resize_q80_lanczos.jpg|https://oceanohalfmoonbay.com/wp-content/uploads/2021/01/oceano-wedding-photo-q.jpg
Mavericks House,https://maverickshouse.com/weddings,https://maverickshouse.com/weddings,https://maverickshouse.com/weddings,varies,Contact for pricing (oceanfront bluff),Half Moon Bay CA,Coast,Oceanfront,40.2,https://images.squarespace-cdn.com/content/v1/5cf6de85b6e2240001bd85c7/1566596501513-A5UDZJLQC6MT1F87T0S5/Oceanfront-Wedding-Venue-San-Francisco-BayaArea.jpg|https://images.squarespace-cdn.com/content/v1/5cf6de85b6e2240001bd85c7/1570028014490-039T976E1SSNXASSEWUY/Mavericks-House-waterfront-wedding-food.jpg|https://images.squarespace-cdn.com/content/v1/5cf6de85b6e2240001bd85c7/1570028421676-RNQVM8F2FUZNQP2P87RI/Mavericks-House-waterfront-wedding-food-menu.jpg|https://images.squarespace-cdn.com/content/v1/5cf6de85b6e2240001bd85c7/1569420210782-BSRDX61W0OMQ6D2T5VBJ/Mavericks-House-waterfront-event-space.jpg|https://images.squarespace-cdn.com/content/v1/5cf6de85b6e2240001bd85c7/1569420260711-T0ZEWFLZB9C162VGBMTI/Mavericks-House-ocean-view-event-space.jpg
Green Acres Ranch,https://www.greenacresranchandweddingvenue.com/,https://www.greenacresranchandweddingvenue.com/,https://www.greenacresranchandweddingvenue.com/,varies,Contact for pricing (horse ranch),Half Moon Bay area CA,Coast,Ranch,,
Dunsmuir Hellman Historic Estate,https://www.oaklandca.gov/topics/dunsmuir-historic-estate,https://www.oaklandca.gov/topics/dunsmuir-historic-estate,https://www.oaklandca.gov/topics/dunsmuir-historic-estate,varies,Contact for pricing (1899 mansion),"2960 Peralta Oaks Ct, Oakland CA 94605",Oakland,Historic Mansion,12.4,https://www.oakha.org/wp-content/uploads/2025/06/about-us-oha-event-053024-4-3.jpg|https://www.oakha.org/wp-content/uploads/2025/03/24555afe008402f350e469b4dd989539.jpeg|https://www.oakha.org/wp-content/uploads/2025/09/2025-edo-block-party-29-3000.jpg|https://www.oakha.org/wp-content/uploads/2025/09/propertyowners-banner.jpg|https://savesfbay.org/wp-content/uploads/2023/05/KarlNielsen_Highway-37-on-a-dry-day-1024x575.jpg
Oakland Scottish Rite Center,https://www.oaklandsrc.com/,https://www.oaklandsrc.com/,https://www.oaklandsrc.com/,up to 800,Contact for pricing (historic ballroom),"1547 Lakeside Dr, Oakland CA 94612",Oakland,Historic Ballroom,6.3,
Gardens at Heather Farm,https://www.gardenshf.org/,https://www.gardenshf.org/,https://www.gardenshf.org/,varies,Contact for pricing (6+ acre garden),"1540 Marchbanks Dr, Walnut Creek CA 94598",Walnut Creek,Garden,16.2,
Ruth Bancroft Garden,https://www.ruthbancroftgarden.org/,https://www.ruthbancroftgarden.org/,https://www.ruthbancroftgarden.org/,100-150,Contact for pricing (unique garden),"1552 Bancroft Rd, Walnut Creek CA 94598",Walnut Creek,Garden,17.3,
Boundary Oak at Wedgewood,https://www.wedgewood-weddings.com/venues/northern-california/boundary-oak,https://www.wedgewood-weddings.com/venues/northern-california/boundary-oak,https://www.wedgewood-weddings.com/venues/northern-california/boundary-oak,up to 250,"Starting at $10,000 (golf course views)","3800 Valley Vista Rd, Walnut Creek CA 94598",Walnut Creek,Golf Club,19.1,
