Venue Name,Location,Distance,Max Capacity,Rental Pricing,Venue Type,Contact,Notes,Image,Address
[Fox Theater Oakland](https://thefoxoakland.com/galleries/private-events/),"Oakland, CA",15 min,2800,Contact for rates,Historic Theater,510.302.2250,Restored 1928 venue; Meyer Sound; includes Telegraph Room,"<img src=""https://thefoxoakland.com/wp-content/uploads/sites/5/2016/12/ct-oakland-fox-theater-chicago-uptown-theatre-video.jpg""> <img src=""downloads/bay-area-theaters/images/Fox_Theater_Oakland/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Fox_Theater_Oakland/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Fox_Theater_Oakland/image_3.jpg""> <img src=""downloads/bay-area-theaters/images/Fox_Theater_Oakland/image_4.jpg""> <img src=""downloads/bay-area-theaters/images/Fox_Theater_Oakland/image_5.jpg"">",1807 Telegraph Avenue
Oakland CA 94612,,,,,,,,,
[Paramount Theatre Oakland](https://www.paramountoakland.org/rental-information),"Oakland, CA",15 min,3000+,Commercial and nonprofit rates available,Historic Theater,paramountoakland.org,No weddings; Ticketmaster exclusive; $3.50/ticket facility fee,"<img src=""https://upload.wikimedia.org/wikipedia/commons/5/57/Paramount_Theatre%2C_interior_2%2C_Oakland.jpg""> <img src=""downloads/bay-area-theaters/images/Paramount_Theatre_Oakland/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Paramount_Theatre_Oakland/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Paramount_Theatre_Oakland/image_3.png""> <img src=""downloads/bay-area-theaters/images/Paramount_Theatre_Oakland/image_5.jpg"">","2025 Broadway, Oakland, CA 94612"
[Oakland Scottish Rite Center](https://oaklandscottishrite.com/private-events/),"Oakland, CA",15 min,3000,Contact for rates,Historic Venue,calendly.com/lcarnegie,1927 building; Merritt Ballroom 600 seated/1000 standing; Lake Merritt views,https://oaklandscottishrite.com/wp-content/uploads/2023/01/OSRC-1021-1-683x1024.jpg,
[Malonga Casquelourd Center](https://venueguide.com/oakland/data/v104907.htm),"Oakland, CA",15 min,350,Contact for rates,Performing Arts Center,City of Oakland,5 dance studios; multicultural arts complex,https://s3-media0.fl.yelpcdn.com/bphoto/kNfD3DfDxZL2n9h8E3zGqA/o.jpg,
[East Bay Center for Performing Arts](https://eastbaycenter.org/get-in-touch/facility-rentals/),"Richmond, CA",20 min,195,Contact for rates,Theater,eastbaycenter.org,Iron Triangle Theater 180-195; Community Theater 190,https://eastbaycenter.org/wp-content/uploads/2022/05/Room-203-at-East-Bay-Center.jpg,
[East Bay Community Space](https://eastbaycommunityspace.org/rentals/weekday-rentals/),"Oakland, CA",15 min,140,$50-$1900 sliding scale,Community Space,eastbaycommunityspace.org,Main space 56-140; modular stage; sliding scale pricing,https://eastbaycommunityspace.org/wp-content/uploads/2024/10/eastbayfusionhalloween-480x306.jpeg,
[Richmond Memorial Auditorium](https://www.ci.richmond.ca.us/425/Richmond-Memorial-Auditorium),"Richmond, CA",20 min,3000,Contact for rates,Auditorium,510.620.6793,20000 sq ft exhibit space; Bermuda Room available,https://www.ci.richmond.ca.us/ImageRepository/Document?documentId=66036,3530 Morningside Drive
Richmond,CA 94803,,,,,,,,
[Lesher Center - Hofmann Theatre](https://www.lesherartscenter.org/venue-rental/hofmann-theatre),"Walnut Creek, CA",25 min,785,Contact for rates,Theater,925.295.1400,Largest of 3 theaters; state-of-the-art sound and lighting,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Lesher_Center_for_the_Arts.jpg/800px-Lesher_Center_for_the_Arts.jpg,
[Lesher Center - Margaret Lesher Theatre](https://www.lesherartscenter.org/venue-rental/margaret-lesher-theatre),"Walnut Creek, CA",25 min,297,Contact for rates,Theater,925.295.1400,Mid-sized proscenium stage; continental seating,https://www.lesherartscenter.org/home/showpublishedimage/18826/637817439710470000,
[Lesher Center - Vukasin Theatre](https://www.lesherartscenter.org/venue-rental/vukasin-theatre),"Walnut Creek, CA",25 min,133,Contact for rates,Theater,925.295.1400,Intimate theater; flexible seating arrangements,https://www.lesherartscenter.org/home/showpublishedimage/18830/637817439720670000,
[El Campanil Theatre](https://www.elcampaniltheatre.com/venue-rental/rental-information),"Antioch, CA",40 min,650,Contact for pricing sheet,Historic Theater,925.757.9500,1928 Spanish Mission-style; live performances/concerts/film,"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/El_Campanil_Theatre%2C_Antioch%2C_CA.jpg/800px-El_Campanil_Theatre%2C_Antioch%2C_CA.jpg""> <img src=""downloads/bay-area-theaters/images/El_Campanil_Theatre_Antioch/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/El_Campanil_Theatre_Antioch/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/El_Campanil_Theatre_Antioch/image_3.jpg"">",
[Toyota Pavilion at Concord](https://specialevents.livenation.com/venues/concord-pavilion),"Concord, CA",30 min,12500,Contact for rates,Outdoor Amphitheater,310.360.3077,7869 seated + 4631 lawn; Live Nation venue,"<img src=""https://www.concordamp.com/wp-content/uploads/2024/10/concord_6.webp""> <img src=""downloads/bay-area-theaters/images/Toyota_Pavilion_at_Concord/image_1.png""> <img src=""downloads/bay-area-theaters/images/Toyota_Pavilion_at_Concord/image_2.png""> <img src=""downloads/bay-area-theaters/images/Toyota_Pavilion_at_Concord/image_3.png"">",
[Bankhead Theater](https://livermorearts.org/our-venues/about-bankhead/),"Livermore, CA",35 min,507,$7000+ theater; $400-500/hr lobby,Theater,925.373.6800,Downtown Livermore; free parking; event insurance required,"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Bankhead_Theater_Livermore_CA.jpg/800px-Bankhead_Theater_Livermore_CA.jpg""> <img src=""downloads/bay-area-theaters/images/Bankhead_Theater_Livermore/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Bankhead_Theater_Livermore/image_2.png""> <img src=""downloads/bay-area-theaters/images/Bankhead_Theater_Livermore/image_3.png"">",
[SPARC Theater](https://sparctheater.org/rentalspace/),"Livermore, CA",35 min,50,$45/hr standard; $35/hr nonprofit,Studio Theater,sparctheater.org,Rehearsal and workshop space,"<img src=""https://sparctheater.org/wp-content/uploads/2023/05/sparc-interior-stage.jpg""> <img src=""downloads/bay-area-theaters/images/SPARC_Theater_Livermore/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/SPARC_Theater_Livermore/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/SPARC_Theater_Livermore/image_3.jpg"">",2172 Railroad Avenue
Livermore,CA 94550,,,,,,,,
[Chabot College PAC](https://chabotcollege.edu/PAC),"Hayward, CA",20 min,1432,Contact for rates,Performing Arts Center,pacinfo@chabotcollege.edu,Main auditorium 1432; Stage One 111; Recital Hall 99,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Chabot_College_Performing_Arts_Center.jpg/800px-Chabot_College_Performing_Arts_Center.jpg,25555 Hesperian Blvd
Hayward,CA 94545,,,,,,,,
[Smith Center - Ohlone College](https://ohlone.edu/smithcenter/rental),"Fremont, CA",25 min,680,Contact for rates,Performing Arts Center,ohlone.edu,10 meeting rooms; AV capabilities; paid parking,https://www.ohlone.edu/sites/default/files/images/imported/jacksontheatre-2images.jpg,"43600 Mission Blvd., Fremont, CA 94539"
[Davies Symphony Hall](https://sfwarmemorial.org/davies-symphony-hall/),"San Francisco, CA",30 min,2739,Contact for rates,Symphony Hall,sfwarmemorial.org,Home of SF Symphony; Global Gourmet Catering required,"<img src=""https://www.sfsymphony.org/SanFrancisco/media/SanFrancisco/Image%20Galleries/DSH/dsh1-from-1st-tier-by-Craig-Mole.jpg""> <img src=""downloads/bay-area-theaters/images/Davies_Symphony_Hall_San_Francisco/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Davies_Symphony_Hall_San_Francisco/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Davies_Symphony_Hall_San_Francisco/image_3.jpg""> <img src=""downloads/bay-area-theaters/images/Davies_Symphony_Hall_San_Francisco/image_4.jpg"">",301 Van Ness Avenue
San Francisco,CA 94102,,,,,,,,
[War Memorial Opera House](https://sfwarmemorial.org/war-memorial-opera-house/),"San Francisco, CA",30 min,3006,Contact for rates,Opera House,sfwarmemorial.org,Home of SF Opera/Ballet; very limited lobby availability,"<img src=""https://sfwarmemorial.org/wp-content/uploads/Opera-House-stage-from-Grand-Tier.jpg""> <img src=""downloads/bay-area-theaters/images/War_Memorial_Opera_House_San_Francisco/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/War_Memorial_Opera_House_San_Francisco/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/War_Memorial_Opera_House_San_Francisco/image_3.jpg"">",301 Van Ness Avenue
San Francisco,CA 94102,,,,,,,,
[Herbst Theatre](https://sfwarmemorial.org/herbst-theatre/),"San Francisco, CA",30 min,892,$3050 for performance + same-day rehearsal,Theater,sfwarmemorial.org,Rates increase annually July 1,"<img src=""https://sfwarmemorial.org/wp-content/uploads/HT-stage-boxes-from-GT-center.jpg""> <img src=""downloads/bay-area-theaters/images/Herbst_Theatre_San_Francisco/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Herbst_Theatre_San_Francisco/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Herbst_Theatre_San_Francisco/image_3.jpg""> <img src=""downloads/bay-area-theaters/images/Herbst_Theatre_San_Francisco/image_4.jpg"">",301 Van Ness Avenue
San Francisco,CA 94102,,,,,,,,
[Sydney Goldstein Theater (Nourse)](https://www.cityarts.net/theater/rental-info/),"San Francisco, CA",30 min,1687,Contact for rates,Historic Theater,415.563.2463,1926 Spanish Revival; Meyer Sound system,"<img src=""https://cdn.sfcityarts.org/wordpress/wp-content/uploads/2019/11/SGTheater.StageView.JBlackman.2019-800x533.jpg""> <img src=""downloads/bay-area-theaters/images/Sydney_Goldstein_Theater_San_Francisco/image_1.jpg"">","275 Hayes Street, San Francisco, CA 94102"
[YBCA Blue Shield Theater](https://ybca.org/venues/blue-shield-theater/),"San Francisco, CA",35 min,757,$13000-16000/day,Theater,415.978.2700,551 orchestra + 206 terrace seats,"<img src=""https://ybca.org/wp-content/uploads/2019/10/Theater-1-scaled.jpg""> <img src=""downloads/bay-area-theaters/images/YBCA_Blue_Shield_Theater_San_Francisco/image_1.jpg"">","701 Mission Street San Francisco, CA 94103"
[YBCA Forum](https://ybca.org/venues/),"San Francisco, CA",35 min,850,$11000-14000/day,Event Space,415.978.2700,450 seated or 850 standing,"<img src=""https://ybca.org/wp-content/uploads/2019/10/Forum-1-scaled.jpg""> <img src=""downloads/bay-area-theaters/images/YBCA_Forum_San_Francisco/image_1.jpg"">","701 Mission Street San Francisco, CA 94103"
[The Masonic](https://www.sfmasonic.com/private-events),"San Francisco, CA",30 min,3165,Contact for rates,Concert Hall/Event Space,sfmasonic.com,Auditorium 3165 theater; lobby 750 reception,"<img src=""https://assets.livenationcdn.com/uploads/expohallreception15-masonic.jpeg?auto=webp&quality=70&width=768""> <img src=""downloads/bay-area-theaters/images/The_Masonic_San_Francisco/image_1.jpg"">","1111 California St, San Francisco, CA 94108"
[The Fillmore](https://www.thefillmore.com/private-events),"San Francisco, CA",30 min,1315,Contact for rates,Concert Venue,thefillmore.com,Historic music venue; Live Nation,https://assets.livenationcdn.com/uploads/70867fc4-32b7-4355-9002-7f116020e0fe.png?auto=webp&quality=70&width=1319,
[Palace of Fine Arts Theatre](https://www.palaceoffinearts.org/rentals),"San Francisco, CA",35 min,960,Contact for rates,Theater,palaceoffinearts.org,Lobby 350 reception; atrium 900 seated/2000 standing,"<img src=""https://cdn.prod.website-files.com/61d4a1070d811015cd5bd5a7/6356a1d8e17f7107da957ba7_House%20Right%201-p-3200.jpg""> <img src=""downloads/bay-area-theaters/images/Palace_of_Fine_Arts_Theatre_San_Francisco/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Palace_of_Fine_Arts_Theatre_San_Francisco/image_2.jpg"">",3301 Lyon Street
San Francisco,CA 94123,,,,,,,,
[A.C.T. - Toni Rembe Theater](https://www.act-sf.org/rentals),"San Francisco, CA",30 min,1025,Contact for rates,Historic Theater,rentals@act-sf.org,Union Square location; near public transit,"<img src=""https://res.cloudinary.com/a-c-t/image/upload/c_fill,g_auto,h_606,w_1020/f_auto/q_auto/v1661820093/Uploads/Theaters/Geary_Images/02_Geary_Stage_Kevin-Berne?_a=BAAAV6DQ""> <img src=""downloads/bay-area-theaters/images/ACT_Toni_Rembe_Theater_San_Francisco/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/ACT_Toni_Rembe_Theater_San_Francisco/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/ACT_Toni_Rembe_Theater_San_Francisco/image_3.jpg"">",415 Geary Street
San Francisco,CA 94102,,,,,,,,
[A.C.T. - Strand Theater](https://www.act-sf.org/rentals),"San Francisco, CA",30 min,283,Contact for rates,Theater,rentals@act-sf.org,Plus 120-seat event space; near Civic Center,https://res.cloudinary.com/a-c-t/image/upload/c_fill,g_auto
San Francisco,CA 94103,,,,,,,,
[Brava Theater Center](https://www.brava.org/rentals),"San Francisco, CA",30 min,360,Contact for rates,Theater,lottie@brava.org,Main theater 360; studio 60; cabaret 60; Mission District,https://images.squarespace-cdn.com/content/v1/57e2ef6fc534a50452d4afa0/1477105411639-J0PE947JSTF5ED1VCKW0/BravaTheater+Dressing1-.jpg,
[ODC Theater](https://odc.dance/performancerentals),"San Francisco, CA",30 min,250,Contact for rates,Theater/Dance,odc.dance,170 fixed seats; sprung floor; Mission District,https://odc.dance/sites/default/files/styles/venue_large/public/053.Jeri_.Taylor_theater%20conference%20room_2.jpg?itok=Ma5EAw5T,
[Z Space - Steindler Stage](https://www.zspace.org/rent),"San Francisco, CA",30 min,236,Subsidized/free for artists in need,Theater,zspace.org,Professional lighting/sound; Z Below 73-85 seats,"<img src=""https://images.squarespace-cdn.com/content/v1/5679d2ec1115e097de2c8bcb/1767915041734-5MGVKXNQVHV3O8PZUQ17/image-asset.jpeg""> <img src=""downloads/bay-area-theaters/images/Z_Space_Steindler_Stage_San_Francisco/image_1.jpeg""> <img src=""downloads/bay-area-theaters/images/Z_Space_Steindler_Stage_San_Francisco/image_2.jpg"">",
[Marines Memorial Theatre](https://marinesmemorial.org/meetings-events/),"San Francisco, CA",30 min,564,Contact for rates,Historic Theater,415.289.9979,Built 1926; full bar; between Union Square and Nob Hill,"<img src=""https://marinesmemorial.org/wp-content/uploads/2020/08/Theatre_042_410x241.jpg""> <img src=""downloads/bay-area-theaters/images/Marines_Memorial_Theatre_San_Francisco/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Marines_Memorial_Theatre_San_Francisco/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Marines_Memorial_Theatre_San_Francisco/image_3.jpg"">",
[Orpheum Theatre](https://www.broadwaysf.com/private-events/),"San Francisco, CA",30 min,2197,Contact for rates,Historic Theater,broadwaysf.com,Beaux-Arts grandeur; lobby 250 reception; on stage 200,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Orpheum_Theatre_San_Francisco_interior.jpg/800px-Orpheum_Theatre_San_Francisco_interior.jpg,
[Golden Gate Theatre](https://www.broadwaysf.com/private-events/),"San Francisco, CA",30 min,2297,Contact for rates,Historic Theater,888.746.1799,1922 vaudeville house; lobby 400 reception,"<img src=""https://cdn.vox-cdn.com/uploads/chorus_asset/file/12862265/eydnk3Xw.jpg""> <img src=""downloads/bay-area-theaters/images/Golden_Gate_Theatre_San_Francisco/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Golden_Gate_Theatre_San_Francisco/image_3.jpg"">",
[Curran Theatre](https://www.broadwaysf.com/private-events/),"San Francisco, CA",30 min,1677,Contact for rates,Historic Theater,broadwaysf.com,Art deco elegance; near Union Square,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Curran_Theatre_interior_San_Francisco.jpg/800px-Curran_Theatre_interior_San_Francisco.jpg,
[The Regency Ballroom](https://www.theregencyballroom.com/rental-info/),"San Francisco, CA",30 min,1400,$25000+ per event,Ballroom/Concert Venue,heather@goldenvoice.com,700 theater; 450 banquet; part of Regency Center,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Regency_Ballroom_SF_interior.jpg/800px-Regency_Ballroom_SF_interior.jpg,
[The Chapel](https://thechapelsf.com/rental-spaces/),"San Francisco, CA",30 min,1000,Contact for rates,Concert Venue,thechapelsf.com,Full buyout 1000; main room 400; restaurant/bar spaces,https://thechapelsf.com/wp-content/uploads/2016/11/venue-int-i-hopecrops-e1561754438805.jpg,777 Valencia Street
San Francisco,CA 94110,,,,,,,,
[California Theatre](https://sanjosetheaters.org/california/),"San Jose, CA",45 min,1122,Contact for rates,Historic Theater,sanjosetheaters.org,687 orchestra + 435 balcony; 85000 sq ft,"<img src=""https://sanjosetheaters.org/wp-content/gallery/ca2a-interiors/CDT_4877-640.jpg""> <img src=""downloads/bay-area-theaters/images/California_Theatre_San_Jose/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/California_Theatre_San_Jose/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/California_Theatre_San_Jose/image_3.jpg""> <img src=""downloads/bay-area-theaters/images/California_Theatre_San_Jose/image_4.jpg""> <img src=""downloads/bay-area-theaters/images/California_Theatre_San_Jose/image_5.jpg"">","255 Almaden Blvd., San Jose, CA 95113"
[San Jose Center for Performing Arts](https://sanjosetheaters.org/center-for-the-performing-arts-2/),"San Jose, CA",45 min,2677,Contact for rates,Performing Arts Center,sanjosetheaters.org,1921 orchestra + 756 balcony; Frank Lloyd Wright Foundation design,https://sanjosetheaters.org/wp-content/uploads/slider9/mp-IMG_2079--640a.jpeg,"255 Almaden Blvd., San Jose, CA 95113"
[Hammer Theatre Center](https://hammertheatre.com/rentals/),"San Jose, CA",45 min,532,$varies by space,Theater,hammer-rentals@sjsu.edu,Sobrato Auditorium 516; rooftop terrace 120; SJSU operated,"<img src=""https://www.sanjose.org/sites/default/files/styles/scale_1200/public/2019-04/Hammer-Theatre-San-Jose-Stage-Credit-Visit-San-Jose.jpg""> <img src=""downloads/bay-area-theaters/images/Hammer_Theatre_Center_San_Jose/image_1.png""> <img src=""downloads/bay-area-theaters/images/Hammer_Theatre_Center_San_Jose/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Hammer_Theatre_Center_San_Jose/image_3.jpg"">",
[Mountain View CPA - MainStage](https://www.mvcpa.com/book/booking-documents-forms),"Mountain View, CA",40 min,600,Contact for rates,Theater,Jordan@mvcpa.com; 650.903.6565,Excellent sight lines; sweeping arch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mountain_View_Center_for_the_Performing_Arts.jpg/800px-Mountain_View_Center_for_the_Performing_Arts.jpg,500 Castro Street
Mountain View,CA 94041,,,,,,,,
[Mountain View CPA - SecondStage](https://www.mvcpa.com/book/booking-documents-forms),"Mountain View, CA",40 min,200,Contact for rates,Theater,Jordan@mvcpa.com; 650.903.6565,Octagon-shaped; flexible configuration,https://www.mvcpa.com/home/showpublishedimage/1133/637967592865730000,500 Castro Street
Mountain View,CA 94041,,,,,,,,
[Mountain View CPA - ParkStage](https://www.mvcpa.com/book/booking-documents-forms),"Mountain View, CA",40 min,300,Contact for rates,Outdoor Amphitheater,Jordan@mvcpa.com; 650.903.6565,Outdoor with lawn seating,https://www.mvcpa.com/home/showpublishedimage/1135/637967592870630000,500 Castro Street
Mountain View,CA 94041,,,,,,,,
[Flint Center](https://www.bizbash.com/venue-directory/entertainment-venues-performance-spaces/theaters-performance-spaces/venue/13446669/flint-center-for-the-performing-arts),"Cupertino, CA",45 min,2405,Contact for rates,Performing Arts Center,1.800.745.3000,CLOSED - Demolished 2024-2025,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Flint_Center_Cupertino.jpg/800px-Flint_Center_Cupertino.jpg,
[Altarena Playhouse](https://www.altarena.org/),"Alameda, CA",15 min,~150,Contact for rates,Community Theater,altarena.org,Active community theater; theater-in-the-round,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Altarena_Playhouse_Alameda.jpg/800px-Altarena_Playhouse_Alameda.jpg,1409 High Street
Alameda,CA 94501,,,,,,,,
[Laney College Theater](https://laney.edu/facility-rental/),"Oakland, CA",15 min,~500,Contact for rates,College Theater,laneyfacilities@peralta.edu; 510.464.3235,Odell Johnson Performing Arts Center; AV support available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Laney_College_Oakland.jpg/800px-Laney_College_Oakland.jpg,
